Country,Case & death data by sex?,Cases where sex-disaggregated data is available,Cases (% male),Cases (% female),Male cases,Female cases,Deaths where sex-disaggregated data is available
Mexico,Yes,1041875,51.04%,48.96%,531773,510102,117210
Moldova,Yes,98418,41.17%,58.83%,40518,57899,2169
Monaco,No,,,,,,
Mongolia,Yes,374,70.05%,29.95%,261,112,
Montenegro,Yes,30567,50.54%,49.46%,15448,15118,30567
Morocco,Yes,17015,53%,47%,9017,7997,1855
Mozambique,Partial,15231,56.02%,43.98%,,,
Myanmar,Yes,2265,53%,47%,1200,1064,226
Namibia,No,,,,,,
Nepal,Yes,224078,65.83%,34.17%,147510,76567,1148
Netherlands,Yes,456911,45.60%,54.40%,208351,248559,8616
New Zealand,Yes,2044,46.77%,53.23%,955,1088,25
Nicaragua,No,,,,,,
Niger,No,,,,,,
Nigeria,Yes,63928,63.34%,36.66%,40491,23436,1218
North Macedonia,Yes,58608,51.36%,48.64%,30101,28506,1548
Northern Ireland,Yes,50654,46.31%,53.69%,23457,27196,953
Norway,Yes,33714,53.29%,46.71%,17966,15747,316
Oman,No,,,,,,
Pakistan,Yes,289832,74%,26%,214475,75356,6190
Palestine,Partial,73197,47.99%,52.01%,,,
Panama,Yes,79402,54%,46%,42877,36524,373
Papua New Guinea,No,,,,,,
Paraguay,Yes,76476,50.27%,49.73%,38444,38031,1657
Peru,Yes,952439,51.91%,48.09%,494411,458027,35675
Philippines,Yes,422915,54.59%,45.41%,230869,192045,8215
Poland,Partial,,,,,,11254
Portugal,Yes,263840,44.97%,55.03%,118648,145191,4056
Qatar,Partial,12156,91%,9%,,,
Republic of Ireland,Yes,71126,47.05%,52.95%,33464,37661,2036
Romania,Yes,422852,45.63%,54.37%,192947,229904,10177
Russia,No,,,,,,
Rwanda,Partial,5665,66.11%,33.89%,,,
San Marino,No,,,,,,
Sao Tome and Principe,No,,,,,,
Saudi Arabia,Partial,76726,75%,25%,,,
Scotland,Yes,89164,44.51%,55.49%,39686,49477,5380
Senegal,Partial,14529,52%,48%,,,
Serbia,Partial,,,,,,193
Seychelles,No,,,,,,
Sierra Leone,Partial,2406,53.57%,46.43%,,,
Singapore,Partial,6530,89%,11%,,,
Sint Maarten,No,,,,,,
Slovakia,Partial,92078,46.92%,53.08%,,,55
Slovenia,Yes,74264,46.10%,53.90%,34235,40028,913
Somalia,Partial,4445,74%,26%,,,
South Africa,Yes,768834,41.84%,58.16%,321680,447153,17982
South Korea,Yes,31735,47.52%,52.48%,15080,16654,513
South Sudan,Partial,2932,75.44%,24.56%,,,
Spain,Yes,1521835,46.91%,53.09%,713892,807942,20518
Sri Lanka,No,,,,,,
Sudan,No,,,,,,
Suriname,No,,,,,,
Sweden,Yes,225560,46.32%,53.68%,104479,121080,6500
Switzerland,Yes,313900,48.17%,51.83%,151205,162694,4108
Syria,No,,,,,,
Taiwan,Partial,618,49.84%,50.16%,,,
Tajikistan,No,,,,,,
Tanzania,No,,,,,,
Thailand,Yes,3784,56.37%,43.63%,2133,1650,59
Togo,No,,,,,,
Trinidad and Tobago,No,,,,,,
Tunisia,Yes,42727,46%,54%,19654,23072,77
Turkey,Yes,362800,51%,49%,185028,177772,9799
Turks and Caicos,No,,,,,,
UAE,No,,,,,,
USA,Yes,9212654,47.97%,52.03%,4419310,4793343,240207
Uganda,Yes,4904,72.70%,27.30%,3565,1338,31
Ukraine,Yes,635688,40.08%,59.92%,254783,380904,11075
Uruguay,No,,,,,,
Uzbekistan,No,,,,,,
Venezuela,Partial,99835,56.10%,43.90%,,,
Vietnam,Yes,1304,52.84%,47.16%,689,614,35
Wales,Yes,75754,43.98%,56.02%,33316,42437,2472
Yemen,Partial,1897,73%,27%,,,584
Zambia,No,,,,,,
Zimbabwe,No,,,,,,
